beerGlobalStyleScore,beerWeightedAverage,profileBio,appearanceScore,beerNumRatings,overallScore,numPlacesRated,brewerName,reviewBlob,userNumRatings,beerGlobalScore,numFriends,tasteScore,userName,avgScore,url,palateScore,beerName,userID,numFollowing,numCountriesRated,beerAbV,beerStyleName,numBreweriesRated,beerNumCalories,ratingsBlob,beerCountryOfOrigin,aromaScore
,3.074993,,3,3,12,2298,The Public Option,"Draft at the source. Hazy amber color, small white head. Aroma of caramel and subtle grapefruit. Taste is lightly sweet and fruity caramel. Decent. ",19383,,202,7,Travlr,3.3,http://www.ratebeer.com/user/83882/beer-ratings/,3,The Public Option American Amber,83882,79,173,5.5%,Amber Ale,3117,165,3.3 AROMA 8/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 12/20Travlr(19383),Washington,8
,3.030283,,3,3,12,2298,The Public Option,"Draft at the source. Clear golden amber color, medium white head. Aroma of light citrus. Taste is earthy fruit. Decent. ",19383,,202,7,Travlr,3.3,http://www.ratebeer.com/user/83882/beer-ratings/,3,The Public Option A Darker Shade of Pale,83882,79,173,5.5%,American Pale Ale,3117,165,3.3 AROMA 8/10 APPEARANCE 3/5 TASTE 7/10 PALATE 3/5 OVERALL 12/20Travlr(19383),Washington,8
,2.922594,,3,4,11,2298,The Public Option,"Draft at the source. Dark brown color, beige head. Aroma of cocoa powder. Taste is light chocolate, light body. OK. ",19383,,202,7,Travlr,3.1,http://www.ratebeer.com/user/83882/beer-ratings/,2,The Public Option Breakfast Porter,83882,79,173,7.3%,Porter,3117,219,3.1 AROMA 8/10 APPEARANCE 3/5 TASTE 7/10 PALATE 2/5 OVERALL 11/20Travlr(19383),Washington,8
,3.091206,,3,4,12,2298,The Public Option,"Draft at the source. Dark brown color, tan head. Aroma of chocolate syrup. Taste is milk chocolate, light coffee. Tasty. ",19383,,202,8,Travlr,3.4,http://www.ratebeer.com/user/83882/beer-ratings/,3,The Public Option Sams Stout,83882,79,173,5.5%,Sweet Stout,3117,165,3.4 AROMA 8/10 APPEARANCE 3/5 TASTE 8/10 PALATE 3/5 OVERALL 12/20Travlr(19383),Washington,8
,3.043142,,3,1,13,2298,The Public Option,Draft at the source. Hazy golden amber color. Pineapple and citrus aroma. Taste is bittersweet citrus. Nice.  ,19383,,202,8,Travlr,3.5,http://www.ratebeer.com/user/83882/beer-ratings/,3,The Public Option IPA #7,83882,79,173,6.3%,India Pale Ale (IPA),3117,189,3.5 AROMA 8/10 APPEARANCE 3/5 TASTE 8/10 PALATE 3/5 OVERALL 13/20Travlr(19383),Washington,8
,3.021911,,3,1,12,2298,The Public Option,"Draft at the source. Hazy brown color, see pic please. Aroma of nutty cocoa, light coffee. Taste is nutty brownies. Decent.  ",19383,,202,8,Travlr,3.4,http://www.ratebeer.com/user/83882/beer-ratings/,3,The Public Option Northern Nut Brown ,83882,79,173,6.3%,Brown Ale,3117,189,3.4 AROMA 8/10 APPEARANCE 3/5 TASTE 8/10 PALATE 3/5 OVERALL 12/20Travlr(19383),Washington,8
,3.064374,,3,1,14,2298,The Public Option,"Draft at the source. Clear yellow color, see pic please. Aroma of cheerios. Taste is cornflakes and straw. Tasty.  ",19383,,202,8,Travlr,3.6,http://www.ratebeer.com/user/83882/beer-ratings/,3,The Public Option Cream Ale,83882,79,173,5.6%,Cream Ale,3117,168,3.6 AROMA 8/10 APPEARANCE 3/5 TASTE 8/10 PALATE 3/5 OVERALL 14/20Travlr(19383),Washington,8
,3.263257,,3,2,14,2298,DC Brau Brewing Company,"Draft at the source. Jet black color, tan head. Aroma of burnt espresso, licorice. Taste is bitter cocoa and coffee. Tasty.  ",19383,,202,9,Travlr,3.8,http://www.ratebeer.com/user/83882/beer-ratings/,3,DC Brau / Cigar City The Wise and The Lovely,83882,79,173,10%,Imperial Stout,3117,300,3.8 AROMA 9/10 APPEARANCE 3/5 TASTE 9/10 PALATE 3/5 OVERALL 14/20Travlr(19383),Washington,9
,3.210718,,3,2,14,2298,DC Brau Brewing Company,"Draft at the source, 5th Anniversary party. Clear golden amber color, light tan head. Aroma of spiced toast. Taste has spice, pepper, brown bread. Nice.  ",19383,,202,9,Travlr,3.9,http://www.ratebeer.com/user/83882/beer-ratings/,4,DC Brau / Sun King Ripa The Dipa,83882,79,173,9%,Imperial IPA,3117,270,3.9 AROMA 9/10 APPEARANCE 3/5 TASTE 9/10 PALATE 4/5 OVERALL 14/20Travlr(19383),Washington,9
,3.158179,,3,2,14,2298,DC Brau Brewing Company,"Draft at the source, 5th Anniversary party. Clear dark brown color. Aroma of cocoa. Taste is toast and burnt brownies. Very tasty.  ",19383,,202,8,Travlr,3.8,http://www.ratebeer.com/user/83882/beer-ratings/,4,DC Brau / Port City Zehn von Zehn,83882,79,173,5.3%,Dunkel/Tmav,3117,159,3.8 AROMA 9/10 APPEARANCE 3/5 TASTE 8/10 PALATE 4/5 OVERALL 14/20Travlr(19383),Washington,9
